Number,Short description,Change Environment,Opened by,Assigned to,Assignment group,Service,State,Risk,Priority,Urgency,Impact,Model,Created,Start Date,Closed
CR-901,Security alert: Unauthorized access attempt detected.,Complaint,User A,User A,Group A,Service B,In Progress,High,P2,High,Low,Model A,2025-05-30 18:12:40,2025-05-30 20:12:40,
CR-902,Routine check: All systems operational - No issues detected.,Complaint,User C,User D,Group B,Service B,Closed,Low,P2,Low,Medium,Model A,2023-12-27 18:12:40,2023-12-27 20:12:40,2023-12-27 23:12:40
CR-903,Routine check: All systems operational - No issues detected.,Hardware,User D,User D,Group B,Service B,On Hold,Medium,P3,Medium,Low,Model C,2025-01-04 18:12:40,,
CR-904,Performance report: Sluggish response times on application.,Software,User C,User D,Group A,Service C,New,Medium,P2,Medium,Low,Model C,2025-08-12 18:12:40,,
CR-905,Performance report: Sluggish response times on application.,Access,User A,User A,Group C,Service B,Closed,Medium,P3,Low,Low,Model B,2024-06-24 18:12:40,2024-06-24 19:12:40,2024-06-24 22:12:40
CR-906,Security alert: Unauthorized access attempt detected.,Access,User D,User D,Group C,Service C,New,Low,P2,High,Medium,Model B,2024-11-25 18:12:40,,
CR-907,Network issue: Unable to connect to external API.,Facilities,User B,User C,Group A,Service C,New,Medium,P2,Medium,Medium,Model C,2025-05-08 18:12:40,,
CR-908,Data breach notification sent to affected users.,Data,User B,User C,Group C,Service B,On Hold,Low,P3,Medium,Low,Model C,2024-11-13 18:12:40,,
CR-909,Failed Workflow - ID: 0000,Facilities,User A,User D,Group B,Service C,Closed,High,P2,Medium,Low,Model C,2025-07-01 18:12:40,2025-07-01 19:12:40,2025-07-01 21:12:40
CR-910,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,SLA Breach,User C,"",Group B,Service A,Closed,Medium,P3,High,High,Model A,2025-05-06 18:12:40,2025-05-06 20:12:40,2025-05-06 23:12:40
CR-911,Service outage detected - No connection to database.,Hardware,User B,"",Group C,Service C,Closed,High,P2,High,High,Model B,2025-09-16 18:12:40,2025-09-16 19:12:40,2025-09-16 21:12:40
CR-912,Security patch applied: Monitoring for any issues.,Hardware,User D,User B,Group C,Service A,Resolved,Low,P2,High,Medium,Model C,2024-05-20 18:12:40,2024-05-20 21:12:40,2024-05-20 22:12:40
CR-913,Data breach notification sent to affected users.,Access,User D,User A,Group B,Service A,Canceled,High,P3,Medium,High,Model C,2024-11-19 18:12:40,2024-11-19 19:12:40,2024-11-19 22:12:40
CR-914,Service outage detected - No connection to database.,Data,User B,User D,Group A,Service C,Resolved,High,P2,Low,High,Model C,2025-06-06 18:12:40,2025-06-06 20:12:40,2025-06-06 22:12:40
CR-915,User login failed: Account locked due to excessive login attempts.,Complaint,User C,User C,Group A,Service A,Resolved,Low,P3,Low,Low,Model B,2025-08-30 18:12:40,2025-08-30 19:12:40,2025-08-30 23:12:40
CR-916,Security alert: Unauthorized access attempt detected.,Access,User B,"",Group A,Service A,New,Low,P3,Medium,High,Model C,2024-05-21 18:12:40,,
CR-917,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Data,User B,User D,Group B,Service C,On Hold,Medium,P3,Medium,High,Model C,2025-08-28 18:12:40,,
CR-918,Service outage detected - No connection to database.,Hardware,User A,User D,Group C,Service C,Canceled,Low,P2,Medium,Medium,Model B,2024-06-15 18:12:40,2024-06-15 20:12:40,2024-06-15 22:12:40
CR-919,Suspicious activity detected on account: User A.,Failure,User D,User D,Group B,Service B,In Progress,Low,P2,Low,Low,Model A,2024-04-05 18:12:40,2024-04-05 20:12:40,
CR-920,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,SLA Breach,User B,User A,Group A,Service A,Resolved,Low,P2,Low,Low,Model B,2025-11-06 18:12:40,2025-11-06 19:12:40,2025-11-06 22:12:40
CR-921,Service outage detected - No connection to database.,Hardware,User D,User C,Group A,Service B,Canceled,High,P1,Medium,Medium,Model B,2025-03-18 18:12:40,2025-03-18 21:12:40,2025-03-19 00:12:40
CR-922,Failed Workflow - ID: 0000,Access,User C,User A,Group A,Service B,On Hold,Low,P2,Medium,Low,Model C,2024-10-09 18:12:40,,
CR-923,Data breach notification sent to affected users.,Complaint,User D,User A,Group A,Service C,New,Low,P3,Low,Medium,Model A,2025-09-10 18:12:40,,
CR-924,Security alert: Unauthorized access attempt detected.,Network,User D,User A,Group B,Service B,Resolved,Low,P3,Medium,Low,Model C,2025-05-25 18:12:40,2025-05-25 20:12:40,2025-05-26 00:12:40
CR-925,Failed Workflow - ID: 0000,Network,User C,User C,Group C,Service A,Resolved,Low,P3,Low,High,Model A,2025-08-17 18:12:40,2025-08-17 21:12:40,2025-08-18 01:12:40
CR-926,Routine check: All systems operational - No issues detected.,Access,User C,User C,Group A,Service A,Closed,Low,P3,Low,High,Model A,2025-02-25 18:12:40,2025-02-25 21:12:40,2025-02-26 00:12:40
CR-927,Service unavailable due to maintenance,Complaint,User D,User D,Group A,Service B,Resolved,Low,P3,Low,Medium,Model C,2024-08-22 18:12:40,2024-08-22 21:12:40,2024-08-23 01:12:40
CR-928,Data breach notification sent to affected users.,Hardware,User C,"",Group C,Service A,New,Low,P2,Medium,High,Model B,2024-05-07 18:12:40,,
CR-929,Security patch applied: Monitoring for any issues.,SLA Breach,User D,User B,Group A,Service B,In Progress,Low,P1,Medium,Low,Model B,2024-08-25 18:12:40,2024-08-25 19:12:40,
CR-930,Security alert: Unauthorized access attempt detected.,SLA Breach,User D,User B,Group A,Service C,Resolved,Medium,P2,Low,High,Model A,2024-07-06 18:12:40,2024-07-06 20:12:40,2024-07-06 23:12:40
CR-931,Suspicious activity detected on account: User A.,Software,User C,"",Group C,Service A,New,Low,P1,Low,Low,Model B,2025-03-12 18:12:40,,
CR-932,Suspicious activity detected on account: User A.,Facilities,User D,User D,Group C,Service B,In Progress,Low,P2,Low,Medium,Model A,2025-04-17 18:12:40,2025-04-17 21:12:40,
CR-933,Service unavailable due to maintenance,SLA Breach,User B,"",Group B,Service C,Closed,High,P2,Medium,Medium,Model C,2024-09-27 18:12:40,2024-09-27 19:12:40,2024-09-27 20:12:40
CR-934,Routine check: All systems operational - No issues detected.,Network,User C,User B,Group B,Service B,On Hold,High,P2,Medium,Low,Model C,2024-09-14 18:12:40,,
CR-935,Routine check: All systems operational - No issues detected.,Failure,User A,User C,Group C,Service C,New,High,P3,High,High,Model C,2024-07-31 18:12:40,,
CR-936,Security alert: Unauthorized access attempt detected.,Failure,User D,User A,Group A,Service A,In Progress,High,P3,High,Medium,Model C,2025-08-29 18:12:40,2025-08-29 20:12:40,
CR-937,Security alert: Unauthorized access attempt detected.,Data,User D,"",Group C,Service A,In Progress,High,P1,High,Low,Model A,2024-08-26 18:12:40,2024-08-26 21:12:40,
CR-938,Data breach notification sent to affected users.,Data,User D,User A,Group C,Service B,In Progress,High,P2,Medium,Medium,Model A,2024-05-23 18:12:40,2024-05-23 20:12:40,
CR-939,Routine check: All systems operational - No issues detected.,Data,User C,User D,Group C,Service A,Resolved,Medium,P3,Low,High,Model A,2024-04-28 18:12:40,2024-04-28 21:12:40,2024-04-28 22:12:40
CR-940,User login failed: Account locked due to excessive login attempts.,Network,User B,User C,Group B,Service A,Canceled,Medium,P3,High,Low,Model B,2024-07-31 18:12:40,2024-07-31 19:12:40,2024-07-31 21:12:40
CR-941,Security alert: Unauthorized access attempt detected.,Data,User B,User D,Group A,Service A,Canceled,Low,P1,Low,Low,Model B,2024-03-05 18:12:40,2024-03-05 21:12:40,2024-03-06 00:12:40
CR-942,Service unavailable due to maintenance,SLA Breach,User C,User B,Group B,Service C,Closed,Medium,P2,Medium,Medium,Model C,2025-10-29 18:12:40,2025-10-29 20:12:40,2025-10-30 00:12:40
CR-943,Service outage detected - No connection to database.,Complaint,User A,User C,Group C,Service B,Closed,Medium,P1,Low,Low,Model A,2024-03-27 18:12:40,2024-03-27 20:12:40,2024-03-27 21:12:40
CR-944,Suspicious activity detected on account: User A.,Facilities,User B,User C,Group A,Service A,Canceled,Low,P2,Low,Low,Model B,2025-07-17 18:12:40,2025-07-17 19:12:40,2025-07-17 23:12:40
CR-945,User login failed: Account locked due to excessive login attempts.,Complaint,User C,"",Group B,Service C,Canceled,Low,P1,Low,High,Model B,2025-07-11 18:12:40,2025-07-11 20:12:40,2025-07-11 23:12:40
CR-946,Critical alert: Database server overload detected.,Data,User D,"",Group B,Service B,In Progress,High,P1,Medium,Medium,Model A,2024-08-09 18:12:40,2024-08-09 20:12:40,
CR-947,Service outage detected - No connection to database.,Access,User D,User C,Group C,Service C,Closed,High,P2,High,High,Model C,2024-06-02 18:12:40,2024-06-02 20:12:40,2024-06-03 00:12:40
CR-948,Critical alert: Database server overload detected.,Failure,User C,User A,Group C,Service A,Closed,Low,P3,High,Low,Model A,2024-10-08 18:12:40,2024-10-08 21:12:40,2024-10-08 22:12:40
CR-949,Service outage detected - No connection to database.,Access,User A,User C,Group B,Service A,On Hold,Medium,P3,Medium,Medium,Model B,2024-08-27 18:12:40,,
CR-950,Performance report: Sluggish response times on application.,Failure,User B,User B,Group C,Service A,In Progress,Low,P3,Medium,High,Model B,2024-06-25 18:12:40,2024-06-25 21:12:40,
CR-951,User login failed: Account locked due to excessive login attempts.,Network,User B,User A,Group B,Service C,New,Low,P3,Medium,High,Model C,2025-05-27 18:12:40,,
CR-952,User login failed: Account locked due to excessive login attempts.,Hardware,User C,"",Group B,Service C,Resolved,Medium,P3,Low,High,Model C,2025-08-15 18:12:40,2025-08-15 21:12:40,2025-08-15 23:12:40
CR-953,User login failed: Account locked due to excessive login attempts.,Complaint,User C,User C,Group A,Service A,In Progress,High,P2,Medium,Medium,Model A,2025-04-02 18:12:40,2025-04-02 21:12:40,
CR-954,Security patch applied: Monitoring for any issues.,Software,User D,"",Group B,Service C,Canceled,Low,P3,Medium,High,Model B,2024-12-05 18:12:40,2024-12-05 19:12:40,2024-12-05 22:12:40
CR-955,Suspicious activity detected on account: User A.,Access,User B,"",Group C,Service A,In Progress,Medium,P2,Medium,Medium,Model B,2023-11-27 18:12:40,2023-11-27 19:12:40,
CR-956,Service unavailable due to maintenance,Failure,User D,User B,Group B,Service B,Resolved,Medium,P1,High,Low,Model B,2025-01-22 18:12:40,2025-01-22 19:12:40,2025-01-22 23:12:40
CR-957,Service unavailable due to maintenance,Data,User D,User B,Group C,Service B,New,High,P2,Medium,Medium,Model B,2025-05-12 18:12:40,,
CR-958,Service unavailable due to maintenance,Hardware,User B,User C,Group A,Service C,Resolved,High,P2,Medium,High,Model B,2024-11-16 18:12:40,2024-11-16 19:12:40,2024-11-16 21:12:40
CR-959,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Network,User A,"",Group C,Service B,Resolved,Medium,P1,Medium,High,Model B,2024-03-10 18:12:40,2024-03-10 21:12:40,2024-03-10 23:12:40
CR-960,Security patch applied: Monitoring for any issues.,Complaint,User A,"",Group C,Service B,In Progress,Low,P3,High,Low,Model C,2024-10-30 18:12:40,2024-10-30 21:12:40,
CR-961,Critical alert: Database server overload detected.,Network,User B,"",Group B,Service A,In Progress,High,P1,Low,Medium,Model B,2023-12-19 18:12:40,2023-12-19 21:12:40,
CR-962,Failed Workflow - ID: 0000,Failure,User A,User C,Group C,Service B,Canceled,Low,P3,Medium,Medium,Model A,2025-08-06 18:12:40,2025-08-06 21:12:40,2025-08-06 23:12:40
CR-963,Critical alert: Database server overload detected.,Network,User A,User B,Group A,Service B,New,Low,P2,High,High,Model A,2024-06-18 18:12:40,,
CR-964,Performance report: Sluggish response times on application.,Facilities,User C,User B,Group A,Service A,In Progress,High,P1,Medium,Low,Model A,2024-11-07 18:12:40,2024-11-07 19:12:40,
CR-965,Failed Workflow - ID: 0000,Hardware,User B,User D,Group C,Service B,Resolved,Low,P2,Low,Low,Model A,2024-09-05 18:12:40,2024-09-05 20:12:40,2024-09-05 22:12:40
CR-966,Suspicious activity detected on account: User A.,Network,User A,User C,Group B,Service A,New,Low,P1,High,Medium,Model C,2025-02-27 18:12:40,,
CR-967,Service outage detected - No connection to database.,Software,User A,User D,Group C,Service A,Closed,Medium,P1,Medium,Low,Model B,2024-11-07 18:12:40,2024-11-07 19:12:40,2024-11-07 23:12:40
CR-968,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Software,User A,User C,Group A,Service C,Canceled,Medium,P3,Medium,Low,Model B,2024-04-30 18:12:40,2024-04-30 20:12:40,2024-04-30 22:12:40
CR-969,Service outage detected - No connection to database.,Software,User C,User D,Group B,Service C,Closed,Medium,P1,Medium,High,Model B,2023-12-01 18:12:40,2023-12-01 20:12:40,2023-12-01 23:12:40
CR-970,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,SLA Breach,User D,User B,Group B,Service B,New,High,P3,High,Low,Model A,2025-07-30 18:12:40,,
CR-971,Network issue: Unable to connect to external API.,Data,User D,User D,Group A,Service C,In Progress,Medium,P1,Low,High,Model A,2024-08-15 18:12:40,2024-08-15 19:12:40,
CR-972,User login failed: Account locked due to excessive login attempts.,Data,User C,"",Group C,Service A,New,High,P1,Low,High,Model C,2024-04-19 18:12:40,,
CR-973,Security patch applied: Monitoring for any issues.,Network,User D,User B,Group A,Service B,Closed,High,P3,High,Medium,Model B,2025-10-14 18:12:40,2025-10-14 20:12:40,2025-10-14 22:12:40
CR-974,Data breach notification sent to affected users.,SLA Breach,User C,User A,Group B,Service C,In Progress,High,P3,Medium,High,Model B,2024-04-05 18:12:40,2024-04-05 21:12:40,
CR-975,Suspicious activity detected on account: User A.,Hardware,User B,"",Group A,Service B,Resolved,Medium,P2,Low,Low,Model C,2024-02-24 18:12:40,2024-02-24 21:12:40,2024-02-25 01:12:40
CR-976,Suspicious activity detected on account: User A.,Hardware,User A,User B,Group A,Service C,Resolved,High,P3,Medium,High,Model B,2024-05-18 18:12:40,2024-05-18 21:12:40,2024-05-19 00:12:40
CR-977,User login failed: Account locked due to excessive login attempts.,Network,User C,"",Group C,Service C,On Hold,High,P2,High,High,Model A,2025-04-19 18:12:40,,
CR-978,Service outage detected - No connection to database.,Complaint,User D,User B,Group B,Service A,Canceled,Medium,P2,High,Low,Model C,2024-01-17 18:12:40,2024-01-17 19:12:40,2024-01-17 21:12:40
CR-979,Routine check: All systems operational - No issues detected.,Data,User A,User B,Group B,Service A,Canceled,Medium,P2,Medium,Medium,Model B,2024-05-03 18:12:40,2024-05-03 21:12:40,2024-05-03 22:12:40
CR-980,Critical alert: Database server overload detected.,SLA Breach,User C,User D,Group A,Service B,Resolved,Low,P3,Low,High,Model C,2025-09-02 18:12:40,2025-09-02 19:12:40,2025-09-02 21:12:40
CR-981,Critical alert: Database server overload detected.,Data,User A,User C,Group C,Service C,Closed,High,P2,Low,High,Model A,2024-03-09 18:12:40,2024-03-09 19:12:40,2024-03-09 20:12:40
CR-982,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Data,User C,User D,Group B,Service A,On Hold,Low,P1,Medium,High,Model C,2025-03-29 18:12:40,,
CR-983,Critical alert: Database server overload detected.,Complaint,User C,User B,Group B,Service C,In Progress,Medium,P2,High,High,Model A,2024-04-18 18:12:40,2024-04-18 21:12:40,
CR-984,Critical alert: Database server overload detected.,Software,User A,User A,Group A,Service C,Closed,Medium,P1,High,Low,Model A,2024-10-16 18:12:40,2024-10-16 21:12:40,2024-10-17 01:12:40
CR-985,Service outage detected - No connection to database.,Network,User A,User C,Group C,Service C,In Progress,Medium,P3,Low,High,Model A,2024-11-12 18:12:40,2024-11-12 19:12:40,
CR-986,Service unavailable due to maintenance,Network,User D,"",Group B,Service B,In Progress,High,P1,Low,Medium,Model A,2024-01-03 18:12:40,2024-01-03 19:12:40,
CR-987,Data breach notification sent to affected users.,Complaint,User B,User B,Group B,Service A,New,Medium,P2,High,High,Model C,2025-01-20 18:12:40,,
CR-988,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Failure,User A,User B,Group C,Service B,Resolved,Low,P2,High,High,Model C,2024-01-06 18:12:40,2024-01-06 21:12:40,2024-01-06 23:12:40
CR-989,Service unavailable due to maintenance,Network,User A,"",Group B,Service B,Resolved,High,P2,Low,High,Model B,2024-02-15 18:12:40,2024-02-15 21:12:40,2024-02-15 23:12:40
CR-990,Performance report: Sluggish response times on application.,SLA Breach,User C,User D,Group A,Service A,Canceled,Medium,P1,Low,Medium,Model A,2025-08-17 18:12:40,2025-08-17 20:12:40,2025-08-17 23:12:40
CR-991,Security patch applied: Monitoring for any issues.,SLA Breach,User D,User B,Group A,Service B,In Progress,Medium,P2,Medium,High,Model A,2024-10-07 18:12:40,2024-10-07 20:12:40,
CR-992,Service outage detected - No connection to database.,Failure,User C,User A,Group C,Service A,New,Medium,P1,Low,Low,Model C,2025-04-05 18:12:40,,
CR-993,Suspicious activity detected on account: User A.,Software,User D,User A,Group C,Service B,Closed,High,P3,Medium,High,Model B,2024-06-24 18:12:40,2024-06-24 19:12:40,2024-06-24 23:12:40
CR-994,Service outage detected - No connection to database.,Data,User A,User D,Group A,Service A,On Hold,High,P1,Medium,High,Model B,2024-03-09 18:12:40,,
CR-995,Service unavailable due to maintenance,SLA Breach,User B,"",Group B,Service C,Resolved,High,P1,Medium,Medium,Model B,2024-11-13 18:12:40,2024-11-13 21:12:40,2024-11-14 01:12:40
CR-996,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Access,User A,User B,Group B,Service A,In Progress,Medium,P2,High,Low,Model A,2024-07-01 18:12:40,2024-07-01 20:12:40,
CR-997,Service outage detected - No connection to database.,Failure,User B,User B,Group B,Service A,Resolved,Low,P2,Low,Low,Model C,2024-02-20 18:12:40,2024-02-20 20:12:40,2024-02-20 21:12:40
